sensor_A,sensor_B,dist_km,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,z_dist_km,z_pearson_r,z_spearman_r,mahal,outlier_mahal,outlier_z,weight,w_dist,w_corr
AUCT,GIST,350.6771,31287,-0.107517,0.0,0.309543,0.0,0.8865622656172996,0.5040627924457628,0.2263910486351538,2.553911120972063,False,False,,,
GBIT,GIST,355.6837,31262,0.080165,0.0,0.284011,0.0,0.8762832536326661,0.1340530403366422,0.1796611925782607,1.3013132118364374,False,False,,,
GIST,MNKT,357.4733,31227,-0.085631,0.0,-0.31287,0.0,0.8726090396256153,0.4609151627601231,0.9127782251365438,2.154126528148146,False,False,,,
CPIT,TAUT,362.3214,31322,0.614958,0.0,0.611587,0.0,0.8626554427729206,0.9202762259738876,0.7792060510967005,1.227631619585322,False,False,,,
NAPT,GBIT,386.4842,31292,0.046855,0.0,0.229466,0.0,0.8130469837823278,0.1997227627541079,0.0798303920681858,1.194074815324334,False,False,,,
WLGT,GIST,400.5902,31290,0.255503,0.0,0.692402,0.0,0.7840860635859389,0.2116208650741533,0.9271174296505864,2.5145796144799357,False,False,,,
CPIT,LOTT,407.6816,31314,0.77815,0.0,0.77516,0.0,0.7695267647428458,1.242004636083496,1.0785849773380511,1.4121585360231836,False,False,,,
NBRT,CPIT,408.5471,31322,0.901096,0.0,0.921089,0.0,0.767749813344152,1.4843891960456017,1.3456710326618158,1.576056564885059,False,False,,,
CPIT,CHST,415.3606,31281,-0.852308,0.0,-0.85096,0.0,0.7537610688554172,1.97239717338322,1.8976156153000088,2.353298036351276,False,False,,,
WLGT,TAUT,422.5927,31321,0.386789,0.0,0.391356,0.0,0.7389128999235935,0.4704474990369094,0.3761290132905898,0.8829425554351521,False,False,,,
NAPT,KAIT,423.8267,31321,0.853994,0.0,0.862418,0.0,0.7363793840067961,1.3915289359042788,1.2382886347018447,1.5027403452232937,False,False,,,
OTAT,CHST,439.6693,31278,-0.779185,0.0,-0.77977,0.0,0.7038530636960554,1.8282372480655276,1.7673203602204923,2.187977773514864,False,False,,,
OTAT,KAIT,450.751,31319,0.771576,0.0,0.777748,0.0,0.6811013105881353,1.2290441811098425,1.0833216555252374,1.348263145735556,False,False,,,
CPIT,MNKT,453.443,31258,-0.414945,0.0,-0.65046,0.0,0.6755743860759647,1.1101483950682982,1.5306511730547063,2.344736210281002,False,False,,,
