datetime,AUCT,CHIT,CHST,CPIT,GBIT,GIST,JBTT,KAIT,LOTT,MNKT,NAPT,NBRT,NCPT,OTAT,PUYT,RBCT,RFRT,TAUT,TPTT,WLGT
2022-10-30 22:00:00,-1.6184828710937842,-6.391738183593751,-0.6180743085937769,-6.287796933593781,-2.2204608398437458,-0.5975384335937908,-6.250619933593792,-3.2758569335936265,-1.676498339843746,-1.6209364804687356,-3.393076792968753,-0.6109845742187543,2.809689941406242,-1.569130371093754,-3.109726714843734,-1.823111621093769,-0.8861889960937362,-2.6339847773437306,-6.231006152343827,-6.294393933593767
2022-10-30 23:00:00,-1.2135602685547375,-6.088390112304691,-0.6040513623047111,-6.913984799804744,-2.7736854248046865,-0.7207137060547254,-6.874499987304755,-4.186447143554538,-2.125477612304665,-1.222973143554667,-3.545422956054691,0.2008930439453094,3.036834106445303,-1.4579822998046938,-3.35143325292967,-1.4876143310547187,-0.1860457529296781,-2.834802877929665,-6.438469799804756,-6.949186487304714
2022-10-31 00:00:00,-0.9543507080078704,-6.225438989257814,-0.1294180517578285,-6.9959035205078735,-3.137510083007813,-0.3514164111328378,-6.950721036132887,-5.193342895507646,-1.0050991455077722,-0.9691296142577884,-3.683916629882814,0.9837624951171846,3.288532104492178,-1.454225708007815,-3.342598348632794,-1.2553819580078511,-0.2147334267577979,-3.1200023173827884,-6.346335083007887,-7.032509286132841
2022-10-31 01:00:00,-1.040455156250066,-7.253696875000005,0.3837622499999907,-6.95380125000006,-3.065974218750004,0.0037658124999823,-6.906504000000074,-5.921074218749823,0.0074210937500519,-1.0583221562499727,-3.7526592031249977,1.0346365156249964,3.645957031249997,-2.1787421875,-3.256522796874981,-1.3771976562500443,-0.9682927656249676,-3.3771454843749704,-5.852347656250062,-6.987521000000029
2022-10-31 02:00:00,-1.066326401367264,-7.128923120117195,-0.3651494326171847,-6.701828276367249,-2.749934057617189,-0.926849479492194,-6.649456573242264,-6.268678588866985,1.6102839111328515,-1.0906157919921562,-3.765650104492193,0.8481539580078086,4.037454223632816,-2.921377807617187,-3.243279901367168,-1.4462692138672415,-1.6908208388671429,-4.072237979492155,-4.718919213867252,-6.733374823242218
2022-10-31 03:00:00,-0.612449702148524,-6.927797045898442,-1.3617229833984352,-6.471975639648497,-2.353393920898439,-1.8712799365234487,-6.420909874023513,-6.144725952148221,2.7066670166015774,-0.641019733398402,-4.346570686523448,0.4520452822265537,4.2463287353515655,-3.003807983398436,-2.889930639648417,-1.0415673583985,-2.166336608398392,-3.2533343271484183,-3.667347045898524,-6.502375624023467
2022-10-31 04:00:00,-0.0904248242188405,-6.244387792968753,-1.221809636718737,-6.407815292968814,-1.735459667968751,-1.513418480468735,-6.355211496093831,-5.80156982421853,3.657870800781247,-0.1273025117187131,-4.58213096484376,-0.0471115742187472,4.375461425781246,-3.013788574218748,-2.8463475898437283,-0.5130166992188199,-1.7793320898436908,-2.3306198085937297,-3.0632557617188567,-6.442974246093782
2022-10-31 05:00:00,0.7145836230467756,-5.763218408203124,-1.9147746582031109,-6.427437939453194,-1.5697160644531267,-2.14853051757811,-6.375544423828209,-5.021427001952894,4.150969873046864,0.656020232421915,-5.139591908203133,0.5526201855468713,4.770838623046859,-3.0491340332031225,-2.471793673828093,0.3379112792967886,-1.4399833613280664,-1.8740792519531069,-2.6355027832032314,-6.468055673828157
2022-10-31 06:00:00,1.8014982958983463,-5.98077717285156,-2.8366335166015637,-6.668557954101653,-1.438467797851566,-2.81447456347657,-6.61503551660167,-3.669590454101336,3.751454858398435,1.7408286552734742,-4.73165767285157,0.7695076865234336,5.407518920898416,-3.033149047851557,-2.0475303916015237,1.5131697021483577,-0.261124907226525,-1.2807508759765531,-2.0548318603516624,-6.735011016601603
2022-10-31 07:00:00,1.900481972656194,-6.320244433593749,-2.8218505273437557,-6.674751777343857,-1.2070483398437553,-2.705583417968763,-6.619838636718875,-1.930954589843565,2.559123535156251,1.8606092226562727,-3.7175009648437625,1.41644825390625,5.654201660156236,-2.3529780273437373,-1.2097347304687092,1.773036816406204,1.11464166015626,-0.9761689804687428,-1.5703381835938504,-6.762260386718796
