datetime,AUCT,CHIT,CHST,CPIT,GBIT,GIST,JBTT,KAIT,LOTT,MNKT,NAPT,NBRT,NCPT,OTAT,PUYT,RBCT,RFRT,TAUT,TPTT,WLGT
2022-10-30 22:00:00,2.323413399999936,5.807047000000011,8.197170519999872,4.388359799999989,4.532193000000007,8.249596359999941,4.376962959999901,7.303675000000112,9.16224299999999,2.3215802399998893,3.320465199999944,2.4766121199999134,2.4834749999999985,8.337324999999964,8.534410600000001,2.3255570000000034,2.6137353199999325,1.8013096400001132,0.4277449999999589,4.370433039999966
2022-10-30 23:00:00,2.456736200000023,5.78898300000003,7.934688840000035,4.275741799999992,4.554255000000012,8.008363120000013,4.26366736,7.352825000000053,8.863472999999885,2.454515319999928,3.6718091199999208,2.812793479999982,2.62642500000004,8.19580499999995,8.297673280000026,2.4555809999999383,3.122939160000101,1.9015298799999985,0.5753029999999626,4.253828639999938
2022-10-31 00:00:00,2.766178600000103,5.650534999999991,8.015858360000038,4.513560600000005,4.898198999999977,8.171306479999885,4.500844120000011,7.613724999999931,9.061490999999933,2.76330396000003,4.1238632000000734,3.0831668800000216,2.8041249999998854,8.297455000000014,8.644895720000022,2.765963000000056,3.367900799999916,2.1714796400000296,0.3647689999999102,4.490817880000009
2022-10-31 01:00:00,2.9251454000000194,5.3264709999999695,8.434815959999924,4.948026600000048,4.717890999999895,8.546228280000037,4.93358532000002,8.301574999999957,9.02915500000006,2.9203424399998994,4.715597280000111,3.15191619999996,2.914575000000013,8.368585000000053,8.534690599999976,2.9366569999999683,3.4659963999999945,2.270869120000043,0.5503009999999904,4.932416679999847
2022-10-31 02:00:00,3.3011979999999994,5.290342000000123,8.477844639999944,5.059670799999822,5.030880000000025,8.54700752000008,5.044841160000033,8.582250000000045,9.184408000000076,3.299008800000024,4.987406000000078,3.666082719999963,3.2974499999999125,8.343449999999962,8.815285600000038,3.2894599999999627,3.98524139999995,2.4341084799999635,0.8014180000000124,5.046304840000062
2022-10-31 03:00:00,3.876603400000022,5.248809000000051,8.335468119999973,5.335115400000063,5.396559000000138,8.34769816000005,5.319381079999971,8.980724999999893,8.813114999999925,3.874610240000038,5.282432520000043,4.255752599999937,3.4517250000000104,8.00830499999995,8.59316059999992,3.861226999999872,4.34369520000007,3.086292999999955,1.111921000000052,5.323896919999925
2022-10-31 04:00:00,4.00206639999999,5.335425999999984,8.308895679999978,5.410850400000072,5.446561999999972,8.301945239999895,5.394136080000067,9.198399999999992,8.716535999999905,4.002373039999952,5.37128516000007,3.890322400000059,3.3555999999999813,8.317890000000034,8.746230480000122,3.9893619999999146,4.171093359999986,3.363885120000077,1.3393180000000484,5.403131919999964
2022-10-31 05:00:00,4.033164799999895,5.044844000000012,7.908488639999973,5.233821599999942,5.391058000000044,7.900784520000002,5.216860320000023,8.885499999999865,8.306444000000056,4.036527279999973,5.389962439999977,4.155135600000108,3.545299999999997,8.109750000000076,8.394920240000033,4.020204000000035,4.011372080000001,3.48759412000004,1.616863999999964,5.2286516799999845
2022-10-31 06:00:00,3.6160724000000073,5.146296000000007,7.741198719999943,5.066711599999962,5.036929999999984,7.770178959999953,5.049050320000106,8.595450000000028,8.111057999999957,3.6215686400000777,5.090785320000009,3.2751725599998736,2.980450000000019,8.015570000000025,8.163162440000065,3.5934220000000323,3.428157680000026,3.143098280000004,1.7235540000000356,5.059561680000002
2022-10-31 07:00:00,3.1586170000000493,4.753336999999988,7.239996760000054,4.517747399999962,4.351769000000104,7.275472680000121,4.501314480000019,7.729524999999967,7.527543000000037,3.16130720000001,4.722815240000045,3.1572360400000434,2.784224999999992,7.25478499999997,7.383237200000053,3.181654999999864,3.306550480000056,3.012058160000038,2.1606329999999616,4.512233519999995
2022-10-31 08:00:00,2.2076940000000604,4.523046000000022,7.004783360000033,3.663198399999942,3.5619839999999385,7.034356480000042,3.6462516800000913,6.777249999999867,7.344062000000008,2.212314400000082,4.022778039999935,2.171926799999937,1.9521499999999603,6.884980000000041,6.619597080000062,2.220139999999901,2.3284832799998867,2.2353709599999547,2.238558000000012,3.6599963200001184
2022-10-31 09:00:00,2.189172799999937,4.228345999999988,6.707751519999874,3.211573999999928,3.0898039999999583,6.758504359999961,3.195798800000034,6.012400000000071,6.410202000000027,2.194635080000012,3.577653279999936,2.060676800000124,1.7691999999999553,6.249790000000076,5.720012200000042,2.2065739999999323,2.244277239999974,2.405328279999935,3.1924940000000106,3.208861200000115
2022-10-31 10:00:00,1.9431055999999671,4.104667999999947,6.696279760000039,3.4221924000000854,2.959049999999934,6.709096679999902,3.40743947999988,5.7562999999998965,6.356683999999973,1.9460691600000928,3.437321240000074,1.8452274800000623,1.6288000000000693,6.319839999999999,5.625354879999918,1.932158000000072,2.053822519999926,1.9950672800000573,3.065484000000197,3.418518519999907
2022-10-31 11:00:00,1.1039947999998958,4.006468000000041,6.220990239999992,2.629751199999987,2.2350280000000566,6.210663319999981,2.6138452399999323,5.223049999999944,6.337390000000028,1.1056762799998978,3.330869200000052,1.0761542400000508,0.8535499999999274,6.20661999999993,6.279582679999976,1.115823999999975,1.347965600000066,1.6137021999999206,3.4299680000000308,2.627568760000031
2022-10-31 12:00:00,1.4795522000000574,3.750694999999951,6.054874840000025,2.6861701999998786,2.202596999999969,6.045596120000027,2.670988039999884,5.046125000000075,7.047531000000049,1.4824299199999589,3.271084359999918,1.5260311199999703,1.0521249999999327,6.243015000000014,6.798770360000049,1.4772509999999102,1.710864000000015,1.715795039999989,3.42187100000001,2.6852459599999747
2022-10-31 13:00:00,1.710915200000045,4.258147999999892,6.526739759999941,3.149585200000047,2.650449999999978,6.520326680000039,3.13314304000005,5.553499999999872,7.753720000000044,1.7140637200000128,3.299185120000061,1.5257446000000527,1.0048999999999069,7.044250000000034,6.969997799999987,1.6962559999999485,1.6129628399999092,2.029447839999875,3.3949159999999665,3.147720960000015
2022-10-31 14:00:00,1.9504939999999351,4.622773999999936,6.765689039999984,3.316104800000062,2.9058760000000348,6.7630367199999455,3.299177959999952,5.739149999999881,7.912210000000073,1.9520843999999895,3.380961559999946,1.6124154400000634,1.1492499999999382,7.577200000000062,6.93955047999998,1.953489999999988,1.646176359999913,2.4370166399999107,3.0588020000000142,3.313608039999963
2022-10-31 15:00:00,1.8079806000000644,5.186392999999953,7.087904599999888,3.6893250000000535,3.044569000000024,7.064992800000027,3.672035000000051,6.118175000000065,7.640235000000075,1.8094851600000084,3.6025282399999696,1.4196484000000282,0.8935749999999416,7.572565000000054,6.568273039999895,1.8361530000000807,1.3833553199999642,2.359104320000029,2.576974999999948,3.687234999999873
2022-10-31 16:00:00,1.3822278000001234,5.173506999999972,7.246724200000017,3.735597799999937,3.2111909999999853,7.21451060000004,3.717878559999917,6.166375000000016,7.075598999999897,1.3859100800000306,3.141167040000028,1.0913277199999811,0.9051749999999856,7.500765000000001,6.7767279200000985,1.4085889999998926,1.0846635599998535,1.9078272400000744,2.134420999999975,3.732417439999949
